 Produção Ambulatorial_Estabel. com cod. SIA_até out/99,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63
00.306.770/0001-67-LAPAC LABORATORIO PILOTO DE ANA,0,0,0,2476.92,3900.020000000001,1966.8999999999999,3878.7000000000003,128.82,2967.49,1957.25,1421.9700000000003,1651.96,1820.9500000000003,0,2130.93,2131.68,3730.520000000001,3730.54,0,0,7463.440000000001,5685.3099999999995,4774.64,0,3072.15,3529.2700000000004,8368.509999999998,3769.980000000001,3154.63,0,2488.1800000000003,0,0,0,10035.269999999999,0,0,0,16997.690000000002,0,7999.5700000000015,3998.6300000000006,0,7061.37,3999.8300000000004,3999.09,6275.42,7439.829999999998,5764.08,6317.219999999999,4754.96,6952.48,7571.55,4136.69,4199.0199999999995,4199.42,8123.51,8699.79,9098.330000000002,10328.570000000003,8010.700000000001,10820.22,242984.00000000003
00.351.482/0001-24-CETOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8735.039999999999,10160.31,13088.16,6152.370000000001,12413.849999999999,50549.729999999996
00.373.536/0001-52-CAMPANHA DO COLO DO UTERO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2192,0,0,0,0,0,0,0,0,0,0,2192
00.388.474/0001-52-CAMP.COLO UTERO LAB.ALVES S/C L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7332.2,10967.8,1195.6,2476.6,0,0,0,0,0,0,0,0,21972.199999999997
00.388.474/0001-52-LABORATORIO ALVES SC LTDA.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370.5,437.19,311.22,474.24,637.26,1074.16,1564.94,1213.06,1287.14,1277.88,1138.98,1731.62,1166.76,1370.48,1861.26,1120.46,1629.76,1629.76,2537.24,2197.29,25031.199999999997
00.390.877/0001-36-CENTRO DE SAUDE SAO JOSE,0,0,0,0,0,0,0,0,0,0,1211.25,1019.49,449.82,1749.81,1176.06,1449.93,1393.32,1450.13,1442.49,1450.23,1415.13,1415.23,1404.01,1362.76,1393.38,1432.56,1394.1399999999999,1449.93,1413.21,1407.0900000000001,1409.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28289.1
00.390.877/0001-36-POLICLINICA DR. GE,0,0,0,0,0,0,0,0,0,0,14693.51,14322.390000000001,9449.579999999998,15576.25,17500.440000000002,22636.86,17806.18,18012.739999999998,17888.559999999998,17853.57,17891.379999999997,17693.210000000003,18025.29,16742.75,17392.66,17778.94,17740.22,17882.01,17883.350000000002,17882.1,17883.04,43447.66,40350.26,45454.939999999995,43678.22999999999,45463.48999999999,45462.86999999997,46227.21999999999,45972.039999999986,46727.96999999999,46726.91999999999,46216.17,40504.76999999999,48175.77,52639.58999999999,52127.030000000006,51845.05000000001,57581.140000000014,58980.12,60083.47999999998,57961.07999999999,59183.61000000001,60875.76000000002,59965.280000000006,60113.02000000001,60092.81999999999,61670.89,62899.719999999994,61795.87000000001,60650.869999999995,58349.94000000002,58918.250000000015,2000676.8600000003
00.394.429/0073-85-ESQUAD.SAUDE REFORCADO LAGOA SA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597.91,809.5699999999999,1630.16,726.77,1288.1499999999999,826.7599999999999,1028.11,6907.43
00.394.429/0073-85-PAMA LS,0,965.16,652.3,0,1067.5,0,0,1072.81,0,838.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4596.57
00.394.452/0384-10-HOSPITAL MILITAR DE JUIZ DE FOR,0,0,0,0,0,0,0,0,0,0,0,0,3374.31,1790.9,1019.6699999999998,1205.3199999999997,1230.7700000000002,861.21,0,972.58,1332.5800000000002,1067.43,1100.4299999999998,1029.0800000000002,1189.7599999999995,1537.3599999999997,1209.19,1207.5299999999997,937.1799999999997,798.04,771.4499999999998,995.0099999999999,1177.2900000000002,1081.0099999999998,1433.0099999999998,1791.5600000000002,1152.23,738.3400000000001,1026.09,1039.64,827.06,901.6100000000001,580.49,570.5799999999999,846.0999999999999,708.0799999999999,655.4100000000001,919.44,840.0900000000001,690.3999999999999,651.1599999999999,850.6399999999998,0,0,0,0,0,0,0,0,0,0,42110.03
00.401.027/0001-96-NUCLEMINAS MEDICINA NUCLEAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6194.25,5204.219999999999,12126.39,17196.72,22092.15,62813.73
00.415.628/0001-58-CENTRO DE DIAGNOSTICO DE LAFAIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1925.2800000000002,2721.620000000001,2086.5,2282.48,1963.46,1355.9,775.1400000000001,973.5200000000001,904.8,1024.69,476.53000000000003,578.51,690.63,462.46999999999997,495.30000000000007,741.8799999999999,383.02,720.75,526.88,260.39,537.1600000000001,0,269.02,212.51,439.85,51.91,0,0,0,0,22860.199999999997
00.416.921/0001-30-LABORATORIO CENTRAL LAGOA SANTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904.9,1445.46,2225.89,2280.5,3669.180000000001,3923.56,4396.87,4599.179999999999,5915.93,4424.599999999999,7963.679999999999,5686.919999999999,8071.34,8431.059999999998,6485.22,8117.51,78541.79999999999
00.421.604/0001-01-LABORATORIO ANALISES APOLO LTDA,1313.99,1262.72,1050.97,936.4999999999999,821.81,242.19000000000003,1161.74,351.81999999999994,1347.2599999999998,1270.31,1366.2099999999998,1244.4499999999998,1086.1299999999999,1245.89,1352.1599999999999,0,2601.7799999999997,779.65,1072.55,655.86,1020.8599999999999,1375.2800000000002,1365.84,326.97,605,470.56,265.97,160.69,129.32,54.82,0,303.54,1374.4800000000002,1.48,375.41,0,402.27,167.56999999999996,128.62,214.26000000000002,28.699999999999996,259.37,978.2700000000001,0,1106.71,1374.8400000000001,1329.43,1719.74,488.03,265.09,487.5,1664.1799999999998,978.2299999999999,978.6100000000001,368.4,218.5,219.46,759.62,977.8199999999999,968.9200000000001,945.8699999999999,888.43,46912.649999999994
00.428.590/0001-58-SERVICO CARANGOLENSE DE NEFROLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28382.41999999994,2994.1600000000017,339.5,84010.66999999982,29263.06999999994,29411.610000000008,32823.18999999998,29635.63,32589.66999999997,29641.28999999994,28616.609999999957,35589.35000000032,32656.74999999994,34165.95000000029,42637.04000000005,38607.07000000001,39729.43999999981,35862.639999999985,37868.979999999945,36458.84999999991,42373.240000000034,41422.369999999886,39691.31999999993,42128.600000000064,41851.53999999991,41853.69999999991,41838.79000000007,41668.5799999999,41985.24999999993,1036097.2799999994
00.433.289/0001-32-NEFROCLINICA CIRC DAS AGUAS LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26898.529999999948,32133.429999999673,61304.559999999954,54025.3799999998,52724.96999999986,55505.86999999991,55737.00000000014,58323.91999999992,62898.39999999984,61690.22000000034,60044.01999999994,60871.019999999815,60654.689999999886,60875.79999999976,64206.61999999989,60781.220000000234,888675.649999999
00.519.612/0001-95-LABORATORIO DE MATIAS BARBOSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2499.64,2998.97,2957.6500000000005,2971.82,2998.7299999999996,2999.03,2938.3299999999995,2998.8799999999997,2999.16,2999.12,2985.8500000000004,2999.8,2998.4500000000007,2995.4400000000005,3725.7200000000003,3749.4399999999996,3749.96,3749.62,3704.5400000000004,3735.8700000000003,3750.84,4687.13,4678.49,4686.12,4676.22,4685.81,4685.99,4658.27,4686.290000000001,4686.430000000001,4686.709999999999,4681.44,4682.88,4661.31,4672.89,4687.1900000000005,137710.03000000006
00.539.107/0001-02-BIOANALISES LAB. ANALISES CLINI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428.38,634.1500000000001,659.6899999999998,1409.34,1062.3999999999999,699.9700000000001,956.88,998.85,1247.73,1092.3799999999999,1409.49,926.91,1272.8200000000002,1283.54,1158.1100000000001,1314.1100000000001,1177.5300000000002,1350.7999999999997,1339.3799999999999,1471.7,1409.02,1372.9699999999996,1408.0600000000002,1403.3499999999997,1407.1199999999997,1471.6500000000005,2114.0399999999995,1569.91,1721.57,1402.3500000000004,1407.6999999999998,1406.9899999999998,1397.5799999999997,299.78,41686.25
00.601.543/0001-64-CAMPANHA COLO UTERO RIBEIRAO NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9150,0,0,0,0,0,0,0,0,0,9150
00.619.647/0001-04-LABORATORIO SANTA MARTA LTDA.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1063.0100000000002,727.8599999999999,1447.79,1448.46,1315.1100000000001,1440.0800000000002,1329.3300000000002,1439.4799999999998,1337.65,1378.9499999999998,1447.9799999999998,0,1378.06,1420.91,1338.3899999999999,1448.3799999999999,1417.44,1397.1599999999999,1751.11,1745.14,1760.2399999999998,1756.46,1709.88,1725.5600000000002,1718.72,1747.4200000000003,1746.92,1776.91,1761.5699999999997,1755.2199999999996,1772.01,1741.9299999999998,1770.32,49015.450000000004
00.634.997/0001-31-CAMI CENTRO ATEN. MATERN. INFAN,0,0,0,0,0,0,0,678.8,669.7,736.76,710.74,660.21,915.1400000000001,974.72,1280.7199999999998,1274.9499999999998,1157.49,1052.5,1266.52,1231.69,1418.95,1419.69,1069.01,972.19,1381.35,1272,1333.79,1439.75,1204.27,1101.63,645.6400000000001,1231.63,2318.8599999999997,1071.19,2494.23,1939.11,980.4200000000001,1253.1399999999999,1710.6299999999999,1744.5800000000002,1680.2199999999998,1522.75,1466.1200000000001,1471.72,1186.33,1746.8799999999997,2297.7400000000002,2060.93,1963.8400000000001,2831.85,2831.72,2526.5699999999997,2618.75,2158.41,2013.5099999999998,2810.3199999999997,4338.049999999999,2720.3600000000006,2903.2500000000005,4111.6399999999985,3489.5299999999997,2453.6100000000006,93816.1
00.634.997/0001-31-CENTRO DE SAUDE ELDORADO,0,0,0,0,0,0,0,751.0799999999999,668.5799999999999,471.4,718.0999999999999,704.4,1067.22,953.1,927.5500000000001,948.25,921.51,935.0999999999999,814.14,963.27,1268.2399999999998,1213.9699999999998,1238.3299999999997,1149.8100000000004,1035.98,881.4599999999999,947.54,816.6800000000001,652.44,307.03,636.1400000000001,609.52,791.8100000000001,937.43,771.8100000000001,902.73,432.85999999999996,923.3399999999999,1230.08,1166.2399999999998,1031.4299999999998,744.67,704.04,1251.0400000000002,712.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33201.19
00.634.997/0001-31-CENTRO DE SAUDE MANOA,0,0,0,0,0,0,0,7050.81,6623.48,6957.890000000001,6671.0599999999995,5408.51,5327.51,5779.35,5746.37,5551.3200000000015,5510.92,5518.11,5670.14,5022.85,4639.33,4482.780000000001,7262.460000000001,5832.69,5913.670000000001,5982.710000000001,6447.51,5721.53,5238.349999999999,3883.23,4923.389999999999,4071.09,7845.879999999999,7080.390000000001,5733.049999999998,7176.44,10083.95,8021.329999999999,9872.4,7904.450000000001,8023.18,6862.249999999999,10780.009999999997,3952.7,3667.5199999999995,5002.43,4314,5088.14,5415.3,5051.14,5604.450000000001,4085.75,4404.83,3891.1699999999996,3789.5499999999997,3368.1000000000004,3361.5799999999995,4453.5599999999995,4921.04,4973.530000000001,4350.29,5340.08,315655.55000000005
00.634.997/0001-31-CENTRO DE SAUDE MONTREAL,0,0,0,0,0,0,0,2041.6399999999999,2252.9700000000003,2061.18,2207.2,2262.3600000000006,2665.7,2691.24,2691.5199999999995,2583.56,1880.6000000000001,1919.0900000000001,2052.55,2024.22,2710.3700000000003,2672.2200000000003,3662.5499999999997,3366.8,524.14,3110.4300000000003,3379.979999999999,2329.2799999999997,2309.62,1358.76,1243.21,2855.6400000000003,2916.8199999999997,3313.17,4571.77,4205.28,3181.6600000000003,4166.21,5050.280000000001,4001.89,3005.75,2155.55,3554.56,3109.14,4062.7999999999997,4208.42,0,3923.8399999999997,2315.91,3519,4708.26,4057.8,3787.6699999999996,3650.4999999999995,2525.13,4525.21,5620.52,4599.15,3728.55,3432.9900000000002,2850.7200000000003,4133.7699999999995,167739.14999999997
00.634.997/0001-31-CENTRO DE SAUDE PROGRESSO,0,0,0,0,0,0,0,5244.42,4836.74,5204.320000000001,4171.3,4555.2,4056.4900000000002,4621.26,4026.3900000000003,4500.4,4020.35,4275.339999999999,3981.42,4143.97,3581.8300000000004,4183.54,5538.52,4969.5999999999985,4515.53,5174.38,5043.659999999999,4507.42,5022.5199999999995,3921.7799999999997,4233.43,2811.72,3504.9799999999996,2192.09,2259.8400000000006,2101.3500000000004,2061.2799999999997,2383.1000000000004,2199.1299999999997,2072.97,1887.6399999999999,1385.5500000000002,1590.85,2488.56,2649.48,2522.3,1964.6099999999997,2825.1,2340.79,2576.27,2010.8000000000002,2047.35,2485.1,2068.85,2013.76,2981.5399999999995,3265.2200000000003,3127.48,2979.38,2943.2000000000003,2388.11,3235.8999999999996,183694.11000000002
00.634.997/0001-31-CENTRO DE SAUDE SANTA LUZIA,0,0,0,0,0,0,0,1774.58,1504.41,1301.6899999999998,1560.78,1785.1000000000001,1842.6599999999999,1775.62,1775.73,1390.28,1776.2299999999996,1775.4299999999998,1411.6,1479.47,1735.2700000000002,1725.96,2027.1799999999998,1289.63,860.4999999999999,994.8000000000001,1108.1,1332.07,1115.71,1065.94,1022.4100000000001,1282.13,2022,2252.2199999999993,2357.25,2211.2200000000003,1909.3799999999999,1725.42,2385.9500000000003,2348.8300000000004,2278.9,1738.0800000000002,2375.59,1742.8200000000002,2203.14,2977.48,3787.8500000000004,4289.29,3455.5499999999997,4407.85,4846.02,4281.1900000000005,3634.86,4562.599999999999,2860.67,2038.25,6357.83,6513.929999999999,5401.580000000001,7212.51,6221.49,6577.4400000000005,143690.47000000003
00.634.997/0001-31-CENTRO DE SAUDE SANTO ANTONIO,0,0,0,0,0,0,0,5741.929999999999,5082.1900000000005,5260.000000000001,5506.29,5410.4,4537.29,5193.38,4247.55,5000.79,4246.5,3979.9,4985.3099999999995,4716.1900000000005,4400.55,4269.150000000001,4715.85,4993.610000000001,4950.650000000001,4425.44,4429.47,4210.0199999999995,3732.75,2507.5299999999997,2935.5099999999998,2830.8,65.5,1698.8000000000002,1833.1899999999998,1797.3000000000002,1559.0599999999997,2406.32,2095.84,1828.48,1719.3899999999999,1318.83,0,1657.37,1935.99,2354.84,2137.5899999999997,2513.8599999999997,2512.6099999999997,2847.23,3591.04,1842.8100000000002,2162.0599999999995,2588.2799999999997,1695.79,2134.26,2803.64,2386.26,2271.38,2929.9700000000003,2713.14,3034.61,174744.49000000002
00.634.997/0001-31-CENTRO DE SAUDE VARZEA,0,0,0,0,0,0,0,2413.98,2792.9900000000002,2845.65,2766.71,2818.1400000000003,3674.7700000000004,3437.7700000000004,3173.43,3024.59,2469.51,2528.1900000000005,1687.1399999999999,1649.24,2296.38,2228.6,2730.04,3445.3900000000003,4619.429999999999,4026.2300000000005,5009.379999999999,3956.4599999999996,4277.530000000001,2274.9700000000003,1793.9300000000003,2743.62,5031.72,4515.459999999999,3923.95,4956.150000000001,5608.119999999999,4715.740000000001,3992.15,4614.75,5462.7699999999995,4305.12,3215.3599999999997,4518.01,5431.47,4428.17,5832.879999999999,6221.53,5544.749999999999,5170.23,5292.92,4811.98,5684.450000000001,7560.599999999999,3455.26,6903.16,7723.549999999999,7730.48,7321.959999999999,7264.8899999999985,7871.960000000001,8179.95,241973.56000000003
00.634.997/0001-31-CENTRO SAUDE BAIRRO DAS INDUSTR,0,0,0,0,0,0,0,1577.8400000000001,1565.13,1554.3600000000001,1340.83,1258.18,1230.91,1256.8999999999996,1039.6799999999998,1259.9199999999998,1056.9499999999998,885.1399999999999,784.6200000000001,971.58,1123.36,1103.65,1321.6600000000003,1342.5900000000001,947.7699999999999,982.8299999999999,1113.45,1108.28,1223.9300000000003,664.84,790.0199999999999,710.26,1156.75,1330.71,1588.9399999999998,1323.3700000000001,1260.23,1694.69,1438.4700000000003,1694.25,1286.99,1164.58,1097.21,906.01,1549.8999999999999,1646.53,2527.78,2357.54,1900.2099999999998,1910.48,1801.1000000000001,1474.83,1829.0100000000002,1352.8999999999999,1053.6399999999999,1342.35,1635.3100000000002,1941.46,1935.11,1894.69,1393.0700000000002,1703.2,75405.99000000002
