Movimento de AIH - Arquivos Reduzidos - Brasil,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64
01696781000163 HOSPITAL MUNICIPAL SAO SEBASTIAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28498.820000000003,30959.640000000003,29116.389999999985,28857.130000000005,39221.52999999995,37899.86999999995,29653.589999999997,33681.10000000001,36221.44999999998,40040.31999999999,40136.97999999999,40584.31999999998,40019.5,38482.87999999997,40292.09999999998,533665.6199999999,
02877511000111 HOSPITAL SAO CARLOS DE LAGOA DA PRATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31552.419999999995,32166.24999999998,37440.519999999975,39974.39,36349.11999999999,33641.82999999999,37038.819999999985,32823.229999999974,280986.5799999999,
07257462001452 ASSOCIAC?O DAS IRM?S MISSIONARIAS CAPUCHINHAS,14519.25999999999,15591.179999999991,15681.149999999994,15974.679999999991,15287.229999999992,18527.559999999983,13157.979999999992,15581.149999999992,15577.530000000002,16489.45999999999,14836.849999999995,18229.749999999993,13689.340000000006,12117.320000000002,13210.999999999998,13709.7,14032.82999999999,15128.34,13698.66,9767.709999999995,16330.5,13693.000000000002,12126.27,12129.360000000002,13809.239999999998,12297.399999999996,6986.9000000000015,7137.319999999997,8548.99,6675.05,5363.489999999998,6356.289999999997,9950.480000000005,9337.960000000001,10963.090000000002,9122.14,8595.259999999998,12473.479999999992,12747.259999999993,10313.359999999991,9325.329999999996,7748.419999999996,8863.67,10793.369999999997,12137.939999999999,12173.939999999997,11781.29,22023.379999999986,15207.050000000003,15320.439999999997,15288.699999999997,15262.429999999995,15104.080000000007,17283.199999999993,16412.94999999999,14068.099999999999,14561.869999999997,17237.860000000004,17293.45,15359.279999999992,19478.640000000003,17095.399999999998,819586.3099999997,PRIVADO
16505851000126 HOSPITAL SAO VICENTE DE PAULO DE ABAETE,31679.92999999995,21649.050000000003,30517.139999999974,28009.13999999997,19782.730000000014,23244.57999999998,20473.830000000016,23834.31999999996,23595.76999999999,19085.260000000006,18989.719999999998,23380.830000000005,21951.320000000003,19725.78000000002,18238.60000000001,10163.319999999998,20637.009999999984,16948.679999999997,17046.180000000008,16444.27000000001,16467.32000000001,15472.980000000001,17062.28,18767.94000000001,18549.690000000013,21277.169999999995,19920.43,18883.860000000004,19090.300000000007,16118.010000000002,16961.769999999993,15682.919999999996,16714.90000000001,18317.66,20115.920000000006,18211.469999999994,17813.47000000001,21757.45999999999,18299.190000000013,23769.859999999982,21484.29999999999,15142.389999999996,18199.86999999999,13079.74999999999,20252.270000000008,0,42365.87999999995,31887.91000000001,26227.65000000002,26167.96999999999,25745.05,26284.620000000003,26346.869999999995,26276.739999999994,25837.759999999987,25933.34,25617.919999999987,25579.139999999978,26398.249999999967,25955.93,26414.360000000008,26392.24000000003,1322242.2700000003,FILANTRÓPICO
16517476000215 CLINICA SERRA VERDE LTDA,192475.6599999996,189140.60000000085,179262.36000000147,187859.66000000006,181224.16000000093,183912.97999999803,187098.01999999944,168645.55999999875,185597.81999999948,179504.70000000083,183543.69999999946,169395.6600000005,168322.43999999994,264661.02000000153,252957.37999999794,258052.34000000154,246717.89999999804,255320.26000000146,253640.40000000145,235051.1799999987,251739.02000000142,241272.19999999815,248508.52000000136,239075.45999999825,244447.3200000013,244299.6400000012,233168.2599999984,238281.6800000012,229328.57999999847,235678.82000000117,234146.64000000115,210407.08000000115,232079.1200000011,223975.17999999857,231599.16000000108,221538.45999999862,226633.42000000103,224879.72000000093,216868.0799999987,222922.96000000098,214062.15999999875,223162.94000000093,222036.88000000094,200032.56000000107,221021.58000000092,213545.2799999988,218326.4200000009,261265.59999999843,267035.60000000155,263989.0400000016,254641.63999999856,262073.40000000168,251387.35999999856,259119.1600000016,258934.5200000016,233384.95999999897,259026.84000000163,249425.55999999857,254318.52000000156,245778.9199999986,252033.60000000155,124805.10000000073,13982640.760000015,PRIVADO
16527889000108 HOSPITAL NOSSA SENHORA DA CONCEICAO,24890.390000000014,24484.769999999997,27315.45999999999,24687.349999999973,22688.409999999963,25032.399999999994,24327.439999999966,22175.439999999984,27811.779999999988,23367.479999999974,24298.400000000012,25564.090000000004,26330.18000000002,21725.77000000001,25198.520000000015,26194.989999999998,23638.759999999987,24466.44999999997,28126.519999999975,23378.169999999995,25509.659999999996,26123.529999999988,25867.8,24989.83999999999,26756.66000000003,27904.320000000003,28822.550000000014,26325.27999999999,24699.729999999974,26034.549999999977,24403.569999999974,22019.379999999983,26631.319999999978,24268.55999999999,24768.34999999999,24929.29999999998,23504.719999999994,23582.340000000004,21897.61999999999,20744.329999999973,20493.589999999975,19664.03999999998,23714.680000000008,21008.269999999982,21917.920000000002,25201.48999999997,23456.169999999987,32553.710000000017,25473.460000000003,25449.84999999999,25724.729999999992,25722.92000000001,25724.530000000002,25723.180000000008,25725.599999999988,25725.87,24332.99000000001,25724.58,25725.230000000007,25724.08999999999,25725.039999999997,25723.650000000005,1541721.7699999993,FILANTRÓPICO
16564072000100 HOSPITAL SAO VICENTE DE PAULO DE AGUAS FORMOSAS,42219.230000000025,42032.40999999999,39508.74999999995,44036.9499999999,37873.72999999999,38499.61999999999,38450.00999999998,35467.38000000001,34920.62999999995,37006.35999999992,39842.08999999992,38173.739999999976,42052.609999999964,37298.05999999998,32819.93999999998,30016.62999999998,29928.099999999977,31946.96000000002,38479.729999999974,36563.05999999998,33888.62999999997,31700.890000000018,34171.2,32882.75,31671.729999999985,28536.700000000004,30285.820000000003,30049.05999999999,29815.450000000008,0,53459.85000000002,23652.25999999998,34164.19000000004,46537.91000000013,32174.879999999986,28196.989999999987,29537.999999999993,29938.91999999997,32118.589999999993,31187.549999999977,30678.15999999999,30124.38000000002,29310.94999999999,30035.909999999993,30972.69999999999,29108.799999999992,33206.51000000003,42016.14999999995,37140.14999999999,37267.25999999999,30560.15000000004,32625.51000000003,46999.78000000005,36687.25000000006,36669.75999999997,36412.09999999997,36680.209999999985,36493.85999999998,36265.28999999997,36669.069999999956,36668.33999999997,36687.999999999985,2140387.649999999,FILANTRÓPICO
16572406000189 CASA SAUDE MATERNIDADE SAO LUCAS LTDA,8279.309999999998,8152.5999999999985,12801.120000000003,7737.780000000001,8569.179999999998,8382.619999999994,8442.019999999993,5404.549999999999,5162.1900000000005,9368.379999999994,8340.459999999997,8903.459999999994,5828.770000000001,8333.04,5886.1500000000015,4646.7699999999995,5556.12,5381.72,6991.449999999995,5727.179999999998,7730.659999999999,5413.379999999998,6793.949999999996,5593.789999999997,5602.559999999998,5075.089999999998,4337.84,4489.759999999999,2830.4400000000005,3196.66,2646.9700000000003,3791.7000000000003,3615.3500000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209013.01999999996,PRIVADO
16596611000184 HOSPITAL SAO VICENTE DE PAULO,9889.6,8994.899999999998,10827.770000000004,8537.81,11016.12,7871.3099999999995,8667.850000000002,9089.789999999997,9583.429999999997,9117.339999999997,9567.669999999996,9336.559999999998,8486.710000000001,7125.26,7529.920000000001,8767.139999999998,8034.940000000003,7647.800000000004,13366.61000000001,6736.910000000002,9783.490000000003,8259.750000000002,9360.499999999998,9833.160000000002,9601.09,11281.95,10770.12,8994.889999999998,10889.060000000001,10270.609999999997,9600.449999999999,8503.040000000003,13255.829999999994,10451.149999999994,15538.799999999997,12779.420000000002,10876.68,12697.739999999996,12969.329999999989,13611.679999999984,11325.289999999995,11201.569999999996,13033.939999999991,9877.119999999997,11589.72,9002.929999999997,14203.619999999992,18171.639999999996,12256.249999999998,12265.78,12037.930000000002,12152.98,19671.689999999995,14602.419999999996,13650.769999999997,20841.080000000005,14549.800000000001,22335.480000000018,14633.080000000007,13651.120000000006,30989.409999999993,22117.980000000003,733685.7799999999,FILANTRÓPICO
16607509000137 HOSPITAL SAO SALVADOR,68681.60000000005,70254.61000000002,65910.65999999993,54724.70999999993,62794.00999999995,71083.88,54652.03999999991,56186.309999999954,62588.2899999999,66260.41999999998,76993.80000000012,70027.17000000007,76607.86999999994,63207.30999999997,50364.99999999993,58716.91999999997,61028.74999999996,60967.40999999994,66142.91,56970.69999999992,59485.28999999997,71753.28000000006,73318.24000000014,66613.36000000006,72507.7700000001,71329.5000000001,62195.99999999996,70428.55000000013,67491.15999999999,63832.81999999993,77751.34000000004,67707.21999999999,77555.93999999997,76712.59999999996,79060.93999999996,76857.59000000005,73933.03000000014,69868.05000000005,61433.75999999997,62529.009999999966,69622.62999999999,61311.48999999996,59188.16999999996,59697.68,63136.02999999998,73198.95999999995,72023.73999999993,77940.51000000002,60903.670000000006,61231.40000000003,60826.61999999995,60647.06999999999,61172.479999999974,60202.77999999998,61236.32999999997,64823.70999999995,60498.93,61273.14000000002,100572.45999999977,120147.40999999965,93866.4599999999,93295.7699999998,4233347.259999998,FILANTRÓPICO
16650756000116 CASA DE CARIDADE DE ALFENAS NOSSA SENHORA DO P SOCORRO,106275.9099999998,103097.10000000006,87955.9199999999,78269.83000000002,78812.6700000001,87324.66999999998,73138.18000000001,83352.23999999993,96339.42000000004,87919.87999999998,86462.20999999995,87391.89000000003,86685.91000000015,76862.62000000002,72606.51999999993,63815.069999999825,62809.48999999993,62500.43999999989,53421.26999999988,56073.08999999986,43052.92999999995,81282.84999999995,73707.5399999999,69487.51999999995,72057.39999999997,74881.74999999994,76538.28000000006,84810.62999999995,67242.36999999992,73184.88999999996,77490.67000000007,74665.40000000007,71471.72000000004,59737.49000000013,70061.77000000015,76942.51000000011,72891.70999999992,79467.71000000002,75694.50999999997,81858.09000000005,83631.34000000001,86330.95000000004,87111.98000000004,77269.70000000003,70844.5000000001,93905.21000000005,95514.94000000002,119369.87999999976,125396.69999999972,123021.35999999988,90497.08999999991,133465.34999999971,100294.25999999983,112450.45999999983,99750.44999999992,93788.59999999974,116854.01999999993,112802.26000000008,117306.02999999994,112739.21999999986,122651.4599999999,128611.08999999981,5351248.919999997,FILANTRÓPICO
16673402000197 HOSPITAL E MATERNIDADE SEBASTIAO D ASSUMPCAO LTDA,65847.86999999995,65286.08999999988,58515.68999999997,57031.579999999936,61777.659999999916,55219.62999999989,61676.96999999984,49530.44999999991,62165.78999999991,67603.22999999992,70266.60999999994,66809.35999999993,52112.34999999995,55059.840000000026,53000.3299999999,58718.95999999993,61602.17999999993,60141.999999999935,68465.86999999997,58948.08999999994,74671.10000000006,79302.43000000012,82717.85000000027,71369.57000000014,80252.59000000007,69233.01000000007,64596.919999999925,67012.92999999993,52999.43999999998,49119.189999999995,57737.99999999998,60285.000000000065,65547.2000000001,61879.400000000125,63129.189999999995,68070.80999999997,63538.269999999975,66972.84999999999,61968.919999999875,48324.309999999954,45599.60999999997,41300.45999999993,44332.09000000005,36703.289999999986,53301.24000000004,57566.69000000007,60999.350000000115,69480.76999999992,65141.07999999986,68400.07999999993,76413.93999999986,75396.4499999997,72903.3699999999,70692.0399999999,62296.39999999993,44976.09,74982.68999999994,71628.97999999991,70937.79999999993,75033.5699999999,78608.14999999988,76130.4199999999,3911334.0899999985,PRIVADO
16692121000181 HOSPITAL MUNICIPAL ODILON BHERENS,128230.74999999994,113825.7499999999,101746.45999999992,74997.07999999993,114002.51999999981,121807.64999999994,102471.46999999983,95588.30999999995,105994.91999999977,114556.88999999987,124503.71999999999,166361.86999999982,144249.50000000026,84423.56000000026,80234.2800000002,99901.53000000022,99047.88999999994,98447.95999999982,213806.35999999937,184462.06999999884,149618.67000000033,185122.03000000017,236563.24000000136,215978.00000000044,140732.02,213726.4400000003,224244.10000000033,189316.5299999998,288185.15000000043,315316.5300000003,299934.730000001,345005.26999999897,366667.7,335632.9500000001,423432.9699999995,399705.6699999995,398289.6700000014,338552.63000000024,430960.81000000174,392533.19000000216,417387.9000000004,196158.56999999992,406568.5499999987,310276.8299999998,340359.50999999983,389275.8499999995,359935.5,552456.7199999996,510747.2999999988,529395.2699999993,424698.17999999993,480502.8799999998,473618.3900000004,474829.16000000114,582964.3500000003,468493.0499999997,639315.4800000009,519822.00000000064,740113.2900000011,663683.2500000005,687508.7200000001,770698.6800000012,19196988.270000003,MUNICIPAL
16698771000134 HOSPITAL CONEGO UBIRAJARA CABRAL,25888.840000000004,29108.96,29467.180000000037,24096.280000000002,23439.859999999982,22336.15999999998,20441.61999999997,21913.94,23760.59000000001,24301.800000000014,24825.10999999997,30037.08000000006,28400.100000000017,20362.35999999999,13486.22,18389.349999999995,20420.699999999983,18603.01999999999,15363.219999999987,17370.680000000004,19605.639999999996,19175.929999999993,20800.970000000005,23260.67,20934.999999999996,22551.729999999985,18658.379999999994,19398.620000000003,19306.11999999999,17032.299999999985,17194.45999999999,17640.40999999999,18551.559999999998,20166.159999999996,18082.98,18375.360000000008,18344.6,15094.36,14809.54,13309.269999999995,11477.299999999997,13104.480000000003,12272.939999999999,11260.349999999999,17549.570000000014,12572.330000000004,15706.819999999998,19298.89999999999,18751.889999999992,18930.739999999994,19385.650000000005,18910.080000000005,19389.529999999995,19049.140000000007,17987.219999999998,18351.63,15292.890000000007,19047.230000000003,17474.139999999996,19046.61,19080.740000000005,19399.38000000001,1197646.6899999997,FILANTRÓPICO
16712309000144 HOSPITAL NOSSA SENHORA DA CONCEICAO,10663.43,9037.659999999996,9506.899999999996,11961.809999999992,10805.43999999999,10209.82,9518.11,9417.079999999994,9975.409999999994,11591.449999999992,12583.339999999995,15117.929999999991,14211.589999999995,9472.849999999995,10604.979999999996,9919.139999999994,8966.96,9025.39,10230.519999999995,7889.510000000002,10025.57,10005.249999999998,10206.289999999997,9634.829999999996,11559.3,12496.269999999991,12547.849999999991,11403.349999999991,10877.809999999992,10213.979999999992,10710.889999999994,9785.279999999999,11038.589999999997,12394.879999999992,12126.419999999993,11064.589999999998,12583.929999999993,13553.839999999995,10761.039999999988,10924.409999999998,10927.239999999994,10227.029999999995,10792.089999999997,9146.109999999999,10000.309999999996,11535.289999999999,11310.249999999995,18753.219999999994,12033.979999999998,11836.15,13581.669999999995,13728.44,8702.310000000003,9214.6,12299.369999999997,12412.950000000003,12428.579999999993,11308.469999999988,11849.979999999998,13450.429999999995,12426.38,12417.009999999998,695005.5499999996,FILANTRÓPICO
16718884000154 HOSPITAL NOSSA SENHORA DE LOURDES DE ALVINOPOLIS,17602.86,17099.64999999998,19054.40999999998,17792.029999999995,13754.809999999996,19049.460000000003,22550.479999999992,17488.42999999999,19207.90000000001,18887.839999999986,19783.399999999987,24266.039999999994,23593.65000000001,21007.86999999999,20547.90999999999,20326.669999999995,20359.140000000003,18129.380000000005,18148.62000000001,18996.37,19243.08000000001,19345.070000000003,22463.109999999986,22602.07999999998,22056.170000000002,21090.26,25867.799999999977,23568.660000000003,21188.350000000006,19883.350000000002,20869.920000000006,22479.81000000003,21835.780000000002,23506.24000000001,21759.280000000006,22635.370000000017,20795.62999999998,21600.43999999999,20205.87999999999,21067.94,19983.170000000002,19127.179999999997,20036.15000000001,20254.679999999993,17878.889999999996,21625.020000000008,20797.159999999993,24766.42000000001,21093.16,21143.640000000003,21181.03000000001,21185.500000000004,21060.82999999997,21174.779999999995,21173.959999999995,21167.059999999998,21181.88,21166.370000000006,21185.62000000001,21167.90000000001,20977.62999999999,21128.730000000007,1282167.9000000001,FILANTRÓPICO
16725665000100 HOSPITAL NOSSA SENHORA DA SAUDE DE DOM SILVERIO,13362.089999999997,12909.659999999998,17264.070000000003,17764.47000000001,15207.19,14835.06,14637.150000000001,15163.789999999997,13510.809999999998,13103.19,15306.889999999994,13841.689999999997,13772.699999999993,12387.729999999998,12144.320000000003,10398.109999999995,11384.179999999995,9264.769999999995,14277.430000000006,13995.599999999997,14449.689999999999,12947.529999999997,14676.170000000002,14745.16,16287.46,15852.940000000004,14945.080000000009,13988.079999999996,18075.750000000004,11607.830000000002,12863.830000000004,12021.02,13028.059999999994,12576,14722.349999999997,11940.070000000002,14776.620000000006,17049.960000000003,12441.249999999998,14694.640000000001,15585.070000000005,12976.320000000002,12369.57,12686.699999999995,13646.770000000008,9491.91,11494.59,14255.669999999998,11031.779999999999,11143.750000000002,11954.930000000004,11973.720000000003,12001.520000000002,11974.530000000008,12000.15,11988.760000000004,11986.069999999998,11996.28,12023.680000000002,12000.220000000007,11989.660000000005,12909.609999999999,827701.6499999999,FILANTRÓPICO
16725962000148 PREFEITURA MUNICIPAL DE PIMENTA,12932.769999999993,7136.690000000001,6730.460000000001,6329.88,5370.230000000001,5909.800000000001,5428.020000000002,6136.700000000002,5398.0700000000015,6207.230000000003,6677.100000000001,6624.510000000002,5575.9,5235.83,5815.620000000002,6437.389999999999,6656.42,6077.76,5385.400000000002,2816.1400000000003,6625.540000000001,5018.740000000001,5476.9400000000005,5414.250000000005,3954.080000000001,5985.260000000001,4175.150000000001,2253.1400000000003,1401.9299999999998,2447.58,1443.8900000000003,2417.100000000001,2975.51,4344.6900000000005,4617.07,3622.6500000000005,4532.000000000001,5582.590000000002,5159.690000000001,3051.9000000000005,4645.700000000001,5387.330000000004,5528.180000000001,4518.959999999999,4213.33,3462.4299999999994,3553.0300000000007,1592.9,6779.350000000002,6460.070000000002,6533.8099999999995,3229.94,5498.27,4789.72,6125.95,4383.85,5423.380000000002,6196.37,5040.610000000001,6452.3600000000015,6567.48,6616.830000000001,318381.47,MUNICIPAL
16731630000176 SANTA CASA DE ANDRADAS,44355.15999999997,43829.799999999974,44273.69999999998,47672.539999999935,41865.699999999975,45057.769999999975,34713.27999999998,39040.259999999966,36784.42999999994,40464.449999999946,39032.289999999986,45080.69999999996,39531.57000000001,35097.94999999998,32352.190000000024,34554.29,34142.55999999998,33546.619999999995,31190.540000000034,32594.250000000015,32591.370000000017,35564.61,32482.480000000003,35326.38000000003,36483.72000000002,36684.10000000004,33912.36,35449.45,36997.63000000001,34011.64000000002,26114.49000000002,32376.010000000013,34238.820000000014,34893.19000000001,36480.950000000004,34053.49000000001,37755.00000000002,32788.310000000005,39816.41999999999,35199.780000000006,32722.780000000017,33665.85999999999,32303.660000000007,32880.65000000002,33744.79999999999,34596.29000000001,38148.21999999998,48152.169999999955,43658.12000000002,43402.62999999999,43441.24000000002,43452.65000000003,42984.76999999996,43038.67000000002,43453.58000000003,43378.63,43363.22,43405.579999999994,43425.360000000015,43345.16999999999,42009.45000000002,39978.840000000026,2356952.59,FILANTRÓPICO
